user_id,subscription_tier,age,tenure_months,monthly_price,avg_hours_watched_per_week,num_profiles,num_devices,avg_session_minutes,days_since_last_login,support_tickets_last_year,payment_failures_last_year,churned
U1001,Standard,60,16,13.99,10,3,4,57,35,4,0,No
U1002,Basic,62,24,8.99,5.3,1,1,54,28,5,0,No
U1003,Standard,35,1,13.99,3.1,5,3,63,22,5,1,Yes
U1004,Premium,45,26,19.99,0.2,3,3,47,60,5,3,Yes
U1005,Basic,43,35,8.99,11.2,1,4,9,26,2,1,No
U1006,Basic,48,13,8.99,8,3,3,59,38,2,3,Yes
U1007,Basic,20,35,8.99,3.7,4,2,63,30,3,3,Yes
U1008,Standard,52,43,13.99,1.8,3,2,61,30,4,3,Yes
U1009,Premium,32,33,19.99,9.3,2,4,40,38,5,0,Yes
U1010,Basic,32,13,8.99,12.5,4,3,25,20,0,2,No
U1011,Basic,51,30,8.99,2.4,5,3,34,48,3,3,Yes
U1012,Standard,43,5,13.99,3.2,5,2,27,64,5,1,Yes
U1013,Standard,49,40,13.99,10.8,3,2,18,40,1,0,No
U1014,Basic,51,42,8.99,8.2,5,2,19,50,2,2,Yes
U1015,Standard,54,19,13.99,12.7,3,4,60,28,2,0,No
U1016,Premium,32,1,19.99,15.2,1,4,21,8,0,0,No
U1017,Standard,56,17,13.99,8.5,3,4,26,16,3,0,No
U1018,Premium,38,39,19.99,10.8,3,3,15,32,1,2,Yes
U1019,Standard,29,17,13.99,9.4,1,2,59,58,2,2,Yes
U1020,Standard,46,30,13.99,3.6,1,2,45,47,5,2,Yes
U1021,Standard,48,24,13.99,7.9,1,4,29,22,3,1,No
U1022,Premium,37,28,19.99,5.6,5,3,53,36,2,2,Yes
U1023,Standard,18,10,13.99,4.9,4,4,45,58,3,3,Yes
U1024,Premium,54,36,19.99,5.3,1,4,23,33,4,1,Yes
U1025,Standard,40,11,13.99,12.6,1,1,21,21,0,1,No
U1026,Standard,29,11,13.99,1.7,2,1,35,36,3,3,Yes
U1027,Standard,34,20,13.99,7.4,1,2,36,24,1,3,No
U1028,Standard,18,31,13.99,7.8,3,3,27,19,3,1,No
U1029,Premium,32,10,19.99,7,3,4,53,43,4,1,Yes
U1030,Basic,24,10,8.99,9.3,1,4,41,41,3,0,No
U1031,Premium,18,21,19.99,0.2,4,3,11,54,6,3,Yes
U1032,Basic,54,24,8.99,10,1,3,12,45,4,0,No
U1033,Basic,64,44,8.99,3.8,4,1,66,32,6,0,Yes
U1034,Basic,34,25,8.99,0,3,1,45,33,5,3,Yes
U1035,Basic,21,12,8.99,4.4,4,4,34,41,2,3,Yes
U1036,Premium,45,5,19.99,8.8,5,3,45,55,1,2,No
U1037,Basic,20,34,8.99,0,3,1,41,76,6,3,Yes
U1038,Standard,64,37,13.99,8.3,2,3,63,40,1,2,Yes
U1039,Premium,54,32,19.99,4.9,3,4,17,63,5,1,Yes
U1040,Basic,46,17,8.99,5.5,5,1,74,39,5,2,Yes
U1041,Standard,65,1,13.99,9.3,2,2,54,49,3,0,Yes
U1042,Basic,18,29,8.99,8.5,1,2,44,20,1,3,No
U1043,Standard,61,37,13.99,4.6,4,4,17,46,4,1,Yes
U1044,Standard,44,44,13.99,2,2,3,66,63,6,3,Yes
U1045,Premium,34,26,19.99,12.1,4,3,22,51,1,2,Yes
U1046,Premium,18,46,19.99,4,4,1,57,37,5,3,Yes
U1047,Basic,36,32,8.99,9.6,4,1,45,25,2,0,No
U1048,Standard,53,38,13.99,9.8,2,2,46,52,2,2,Yes
U1049,Standard,59,45,13.99,10.4,4,4,10,39,2,0,No
U1050,Basic,65,39,8.99,12.1,5,1,27,35,0,2,Yes
U1051,Basic,62,26,8.99,2.6,3,1,41,65,6,3,Yes
U1052,Basic,65,17,8.99,3,3,4,60,65,6,1,Yes
U1053,Standard,48,39,13.99,1.9,2,4,37,47,6,1,Yes
U1054,Premium,21,39,19.99,9.5,2,3,41,63,1,3,Yes
U1055,Standard,34,14,13.99,9.7,2,1,39,58,0,3,Yes
U1056,Standard,48,9,13.99,9.7,4,3,54,47,0,3,Yes
U1057,Standard,26,36,13.99,8.7,2,3,11,17,5,0,No
U1058,Premium,48,17,19.99,2.5,4,3,38,66,6,2,Yes
U1059,Standard,61,6,13.99,4.6,1,3,67,68,6,2,Yes
U1060,Standard,64,43,13.99,7.3,1,3,74,41,5,1,Yes
